schema,kmph,Mode of transportation,Climate,Terrain,Vegetation,River,Infrastructure
kmph-v1,1.4,caravan,desert,mountains,none,*,Footpath
kmph-v1,1.0,caravan,desert,mountains,none,river,none
kmph-v1,0.8,caravan,desert,mountains,vegetation,none,none
kmph-v1,1.1,caravan,desert,mountains,vegetation,*,Footpath
kmph-v1,0.8,caravan,desert,mountains,vegetation,river,none
kmph-v1,-1,caravan,desert,water,none,none,none
kmph-v1,-1,caravan,desert,water,none,*,Road
kmph-v1,-1,caravan,desert,water,none,*,Footpath
kmph-v1,-1,caravan,desert,coastal water,none,*,Road
kmph-v1,-1,caravan,desert,coastal water,none,*,Footpath
kmph-v1,-1,caravan,desert,ocean,none,*,Road
kmph-v1,-1,caravan,desert,ocean,none,*,Footpath
kmph-v1,1.0,caravan,desert,wetlands,none,none,none
kmph-v1,1.3,caravan,desert,wetlands,none,*,Footpath
kmph-v1,1.0,caravan,desert,wetlands,none,river,none
kmph-v1,0.8,caravan,desert,wetlands,vegetation,none,none
kmph-v1,1.0,caravan,desert,wetlands,vegetation,*,Footpath
kmph-v1,0.7,caravan,desert,wetlands,vegetation,river,none
kmph-v1,2.4,caravan,cold,flat,none,none,none
kmph-v1,3.0,caravan,cold,flat,none,*,Footpath
kmph-v1,2.3,caravan,cold,flat,none,river,none
kmph-v1,1.9,caravan,cold,flat,vegetation,none,none
kmph-v1,2.3,caravan,cold,flat,vegetation,*,Footpath
kmph-v1,1.8,caravan,cold,flat,vegetation,river,none
kmph-v1,2.0,caravan,cold,hills,none,none,none
kmph-v1,2.5,caravan,cold,hills,none,*,Footpath
kmph-v1,1.9,caravan,cold,hills,none,river,none
kmph-v1,1.5,caravan,cold,hills,vegetation,none,none
kmph-v1,1.9,caravan,cold,hills,vegetation,*,Footpath
kmph-v1,1.5,caravan,cold,hills,vegetation,river,none
kmph-v1,1.2,caravan,cold,mountains,none,none,none
kmph-v1,1.5,caravan,cold,mountains,none,*,Footpath
kmph-v1,1.1,caravan,cold,mountains,none,river,none
kmph-v1,0.9,caravan,cold,mountains,vegetation,none,none
kmph-v1,1.2,caravan,cold,mountains,vegetation,*,Footpath
kmph-v1,0.9,caravan,cold,mountains,vegetation,river,none
kmph-v1,-1,caravan,cold,water,none,none,none
kmph-v1,-1,caravan,cold,water,none,*,Road
kmph-v1,-1,caravan,cold,water,none,*,Footpath
kmph-v1,-1,caravan,cold,coastal water,none,*,Road
kmph-v1,-1,caravan,cold,coastal water,none,*,Footpath
kmph-v1,-1,caravan,cold,ocean,none,*,Road
kmph-v1,-1,caravan,cold,ocean,none,*,Footpath
kmph-v1,1.1,caravan,cold,wetlands,none,none,none
kmph-v1,1.4,caravan,cold,wetlands,none,*,Footpath
kmph-v1,1.0,caravan,cold,wetlands,none,river,none
kmph-v1,0.8,caravan,cold,wetlands,vegetation,none,none
kmph-v1,1.0,caravan,cold,wetlands,vegetation,*,Footpath
kmph-v1,0.8,caravan,cold,wetlands,vegetation,river,none
kmph-v1,2.1,caravan,freezing,flat,none,none,none
kmph-v1,2.6,caravan,freezing,flat,none,*,Footpath
kmph-v1,2.0,caravan,freezing,flat,none,river,none
kmph-v1,1.6,caravan,freezing,flat,vegetation,none,none
kmph-v1,2.0,caravan,freezing,flat,vegetation,*,Footpath
kmph-v1,1.5,caravan,freezing,flat,vegetation,river,none
kmph-v1,1.8,caravan,freezing,hills,none,none,none
kmph-v1,2.2,caravan,freezing,hills,none,*,Footpath
kmph-v1,1.7,caravan,freezing,hills,none,river,none
kmph-v1,1.4,caravan,freezing,hills,vegetation,none,none
kmph-v1,1.7,caravan,freezing,hills,vegetation,*,Footpath
kmph-v1,1.3,caravan,freezing,hills,vegetation,river,none
kmph-v1,1.1,caravan,freezing,mountains,none,none,none
kmph-v1,1.3,caravan,freezing,mountains,none,*,Footpath
kmph-v1,1.0,caravan,freezing,mountains,none,river,none
kmph-v1,0.8,caravan,freezing,mountains,vegetation,none,none
kmph-v1,1.0,caravan,freezing,mountains,vegetation,*,Footpath
kmph-v1,0.8,caravan,freezing,mountains,vegetation,river,none
kmph-v1,-1,caravan,freezing,water,none,none,none
kmph-v1,-1,caravan,freezing,water,none,*,Road
kmph-v1,-1,caravan,freezing,water,none,*,Footpath
kmph-v1,-1,caravan,freezing,coastal water,none,*,Road
kmph-v1,-1,caravan,freezing,coastal water,none,*,Footpath
kmph-v1,-1,caravan,freezing,ocean,none,*,Road
kmph-v1,-1,caravan,freezing,ocean,none,*,Footpath
kmph-v1,1.0,caravan,freezing,wetlands,none,none,none
kmph-v1,1.2,caravan,freezing,wetlands,none,*,Footpath
kmph-v1,0.9,caravan,freezing,wetlands,none,river,none
kmph-v1,0.7,caravan,freezing,wetlands,vegetation,none,none
kmph-v1,0.9,caravan,freezing,wetlands,vegetation,*,Footpath
kmph-v1,0.7,caravan,freezing,wetlands,vegetation,river,none
kmph-v1,3.0,army,temperate,flat,none,none,none
kmph-v1,4.5,army,*,flat,*,*,Road
kmph-v1,3.7,army,temperate,flat,none,*,Footpath
kmph-v1,2.8,army,temperate,flat,none,river,none
kmph-v1,2.3,army,temperate,flat,vegetation,none,none
kmph-v1,2.9,army,temperate,flat,vegetation,*,Footpath
kmph-v1,2.2,army,temperate,flat,vegetation,river,none
kmph-v1,2.5,army,temperate,hills,none,none,none
kmph-v1,3.8,army,*,hills,*,*,Road
kmph-v1,3.1,army,temperate,hills,none,*,Footpath
kmph-v1,2.4,army,temperate,hills,none,river,none
kmph-v1,1.9,army,temperate,hills,vegetation,none,none
kmph-v1,2.4,army,temperate,hills,vegetation,*,Footpath
kmph-v1,1.8,army,temperate,hills,vegetation,river,none
kmph-v1,1.5,army,temperate,mountains,none,none,none
kmph-v1,2.3,army,*,mountains,*,*,Road
kmph-v1,1.9,army,temperate,mountains,none,*,Footpath
kmph-v1,1.4,army,temperate,mountains,none,river,none
kmph-v1,1.1,army,temperate,mountains,vegetation,none,none
kmph-v1,1.4,army,temperate,mountains,vegetation,*,Footpath
kmph-v1,1.1,army,temperate,mountains,vegetation,river,none
kmph-v1,-1,army,temperate,water,none,none,none
kmph-v1,-1,army,temperate,water,none,*,Road
kmph-v1,-1,army,temperate,water,none,*,Footpath
kmph-v1,-1,army,*,coastal water,*,none,none
kmph-v1,-1,army,temperate,coastal water,none,*,Road
kmph-v1,-1,army,temperate,coastal water,none,*,Footpath
kmph-v1,-1,army,*,ocean,*,none,none
kmph-v1,-1,army,temperate,ocean,none,*,Road
kmph-v1,-1,army,temperate,ocean,none,*,Footpath
kmph-v1,1.4,army,temperate,wetlands,none,none,none
kmph-v1,2.1,army,*,wetlands,*,*,Road
kmph-v1,1.7,army,temperate,wetlands,none,*,Footpath
kmph-v1,1.3,army,temperate,wetlands,none,river,none
kmph-v1,1.0,army,temperate,wetlands,vegetation,none,none
kmph-v1,1.3,army,temperate,wetlands,vegetation,*,Footpath
kmph-v1,1.0,army,temperate,wetlands,vegetation,river,none
kmph-v1,2.8,army,tropical,flat,none,none,none
kmph-v1,3.5,army,tropical,flat,none,*,Footpath
kmph-v1,2.7,army,tropical,flat,none,river,none
kmph-v1,2.2,army,tropical,flat,vegetation,none,none
kmph-v1,2.7,army,tropical,flat,vegetation,*,Footpath
kmph-v1,2.1,army,tropical,flat,vegetation,river,none
kmph-v1,2.4,army,tropical,hills,none,none,none
kmph-v1,3.0,army,tropical,hills,none,*,Footpath
kmph-v1,2.2,army,tropical,hills,none,river,none
kmph-v1,1.8,army,tropical,hills,vegetation,none,none
kmph-v1,2.3,army,tropical,hills,vegetation,*,Footpath
kmph-v1,1.7,army,tropical,hills,vegetation,river,none
kmph-v1,1.4,army,tropical,mountains,none,none,none
kmph-v1,1.8,army,tropical,mountains,none,*,Footpath
kmph-v1,1.3,army,tropical,mountains,none,river,none
kmph-v1,1.1,army,tropical,mountains,vegetation,none,none
kmph-v1,1.4,army,tropical,mountains,vegetation,*,Footpath
kmph-v1,1.0,army,tropical,mountains,vegetation,river,none
kmph-v1,-1,army,tropical,water,none,none,none
kmph-v1,-1,army,tropical,water,none,*,Road
kmph-v1,-1,army,tropical,water,none,*,Footpath
kmph-v1,-1,army,tropical,coastal water,none,*,Road
kmph-v1,-1,army,tropical,coastal water,none,*,Footpath
kmph-v1,-1,army,tropical,ocean,none,*,Road
kmph-v1,-1,army,tropical,ocean,none,*,Footpath
kmph-v1,1.3,army,tropical,wetlands,none,none,none
kmph-v1,1.6,army,tropical,wetlands,none,*,Footpath
kmph-v1,1.2,army,tropical,wetlands,none,river,none
kmph-v1,1.0,army,tropical,wetlands,vegetation,none,none
kmph-v1,1.2,army,tropical,wetlands,vegetation,*,Footpath
kmph-v1,0.9,army,tropical,wetlands,vegetation,river,none
kmph-v1,2.9,army,subtropical,flat,none,none,none
kmph-v1,3.6,army,subtropical,flat,none,*,Footpath
kmph-v1,2.8,army,subtropical,flat,none,river,none
kmph-v1,2.2,army,subtropical,flat,vegetation,none,none
kmph-v1,2.8,army,subtropical,flat,vegetation,*,Footpath
kmph-v1,2.1,army,subtropical,flat,vegetation,river,none
kmph-v1,2.4,army,subtropical,hills,none,none,none
kmph-v1,3.0,army,subtropical,hills,none,*,Footpath
kmph-v1,2.3,army,subtropical,hills,none,river,none
kmph-v1,1.9,army,subtropical,hills,vegetation,none,none
kmph-v1,2.3,army,subtropical,hills,vegetation,*,Footpath
kmph-v1,1.8,army,subtropical,hills,vegetation,river,none
kmph-v1,1.4,army,subtropical,mountains,none,none,none
kmph-v1,1.8,army,subtropical,mountains,none,*,Footpath
kmph-v1,1.4,army,subtropical,mountains,none,river,none
kmph-v1,1.1,army,subtropical,mountains,vegetation,none,none
kmph-v1,1.4,army,subtropical,mountains,vegetation,*,Footpath
kmph-v1,1.1,army,subtropical,mountains,vegetation,river,none
kmph-v1,-1,army,subtropical,water,none,none,none
kmph-v1,-1,army,subtropical,water,none,*,Road
kmph-v1,-1,army,subtropical,water,none,*,Footpath
kmph-v1,-1,army,subtropical,coastal water,none,*,Road
kmph-v1,-1,army,subtropical,coastal water,none,*,Footpath
kmph-v1,-1,army,subtropical,ocean,none,*,Road
kmph-v1,-1,army,subtropical,ocean,none,*,Footpath
kmph-v1,1.3,army,subtropical,wetlands,none,none,none
kmph-v1,1.6,army,subtropical,wetlands,none,*,Footpath
kmph-v1,1.3,army,subtropical,wetlands,none,river,none
kmph-v1,1.0,army,subtropical,wetlands,vegetation,none,none
kmph-v1,1.3,army,subtropical,wetlands,vegetation,*,Footpath
kmph-v1,1.0,army,subtropical,wetlands,vegetation,river,none
kmph-v1,2.5,army,desert,flat,none,none,none
kmph-v1,3.1,army,desert,flat,none,*,Footpath
kmph-v1,2.4,army,desert,flat,none,river,none
kmph-v1,1.9,army,desert,flat,vegetation,none,none
kmph-v1,2.4,army,desert,flat,vegetation,*,Footpath
kmph-v1,1.8,army,desert,flat,vegetation,river,none
kmph-v1,2.1,army,desert,hills,none,none,none
kmph-v1,2.6,army,desert,hills,none,*,Footpath
kmph-v1,2.0,army,desert,hills,none,river,none
kmph-v1,1.6,army,desert,hills,vegetation,none,none
kmph-v1,2.0,army,desert,hills,vegetation,*,Footpath
kmph-v1,1.5,army,desert,hills,vegetation,river,none
kmph-v1,1.2,army,desert,mountains,none,none,none
kmph-v1,1.5,army,desert,mountains,none,*,Footpath
kmph-v1,1.2,army,desert,mountains,none,river,none
kmph-v1,1.0,army,desert,mountains,vegetation,none,none
kmph-v1,1.2,army,desert,mountains,vegetation,*,Footpath
kmph-v1,0.9,army,desert,mountains,vegetation,river,none
kmph-v1,-1,army,desert,water,none,none,none
kmph-v1,-1,army,desert,water,none,*,Road
kmph-v1,-1,army,desert,water,none,*,Footpath
kmph-v1,-1,army,desert,coastal water,none,*,Road
kmph-v1,-1,army,desert,coastal water,none,*,Footpath
kmph-v1,-1,army,desert,ocean,none,*,Road
kmph-v1,-1,army,desert,ocean,none,*,Footpath
kmph-v1,1.1,army,desert,wetlands,none,none,none
kmph-v1,1.4,army,desert,wetlands,none,*,Footpath
kmph-v1,1.1,army,desert,wetlands,none,river,none
kmph-v1,0.9,army,desert,wetlands,vegetation,none,none
kmph-v1,1.1,army,desert,wetlands,vegetation,*,Footpath
kmph-v1,0.8,army,desert,wetlands,vegetation,river,none
kmph-v1,2.7,army,cold,flat,none,none,none
kmph-v1,3.4,army,cold,flat,none,*,Footpath
kmph-v1,2.6,army,cold,flat,none,river,none
kmph-v1,2.1,army,cold,flat,vegetation,none,none
kmph-v1,2.6,army,cold,flat,vegetation,*,Footpath
kmph-v1,2.0,army,cold,flat,vegetation,river,none
kmph-v1,2.3,army,cold,hills,none,none,none
kmph-v1,2.8,army,cold,hills,none,*,Footpath
kmph-v1,2.1,army,cold,hills,none,river,none
kmph-v1,1.7,army,cold,hills,vegetation,none,none
kmph-v1,2.2,army,cold,hills,vegetation,*,Footpath
kmph-v1,1.7,army,cold,hills,vegetation,river,none
kmph-v1,1.4,army,cold,mountains,none,none,none
kmph-v1,1.7,army,cold,mountains,none,*,Footpath
kmph-v1,1.3,army,cold,mountains,none,river,none
kmph-v1,1.0,army,cold,mountains,vegetation,none,none
kmph-v1,1.3,army,cold,mountains,vegetation,*,Footpath
kmph-v1,1.0,army,cold,mountains,vegetation,river,none
kmph-v1,-1,army,cold,water,none,none,none
kmph-v1,-1,army,cold,water,none,*,Road
kmph-v1,-1,army,cold,water,none,*,Footpath
kmph-v1,-1,army,cold,coastal water,none,*,Road
kmph-v1,-1,army,cold,coastal water,none,*,Footpath
kmph-v1,-1,army,cold,ocean,none,*,Road
kmph-v1,-1,army,cold,ocean,none,*,Footpath
kmph-v1,1.2,army,cold,wetlands,none,none,none
kmph-v1,1.5,army,cold,wetlands,none,*,Footpath
kmph-v1,1.2,army,cold,wetlands,none,river,none
kmph-v1,0.9,army,cold,wetlands,vegetation,none,none
kmph-v1,1.2,army,cold,wetlands,vegetation,*,Footpath
kmph-v1,0.9,army,cold,wetlands,vegetation,river,none
kmph-v1,2.4,army,freezing,flat,none,none,none
kmph-v1,3.0,army,freezing,flat,none,*,Footpath
kmph-v1,2.3,army,freezing,flat,none,river,none
kmph-v1,1.8,army,freezing,flat,vegetation,none,none
kmph-v1,2.3,army,freezing,flat,vegetation,*,Footpath
kmph-v1,1.7,army,freezing,flat,vegetation,river,none
kmph-v1,2.0,army,freezing,hills,none,none,none
kmph-v1,2.5,army,freezing,hills,none,*,Footpath
kmph-v1,1.9,army,freezing,hills,none,river,none
kmph-v1,1.5,army,freezing,hills,vegetation,none,none
kmph-v1,1.9,army,freezing,hills,vegetation,*,Footpath
kmph-v1,1.5,army,freezing,hills,vegetation,river,none
kmph-v1,1.2,army,freezing,mountains,none,none,none
kmph-v1,1.5,army,freezing,mountains,none,*,Footpath
kmph-v1,1.1,army,freezing,mountains,none,river,none
kmph-v1,0.9,army,freezing,mountains,vegetation,none,none
kmph-v1,1.1,army,freezing,mountains,vegetation,*,Footpath
kmph-v1,0.9,army,freezing,mountains,vegetation,river,none
kmph-v1,-1,army,freezing,water,none,none,none
kmph-v1,-1,army,freezing,water,none,*,Road
kmph-v1,-1,army,freezing,water,none,*,Footpath
kmph-v1,-1,army,freezing,coastal water,none,*,Road
kmph-v1,-1,army,freezing,coastal water,none,*,Footpath
kmph-v1,-1,army,freezing,ocean,none,*,Road
kmph-v1,-1,army,freezing,ocean,none,*,Footpath
kmph-v1,1.1,army,freezing,wetlands,none,none,none
kmph-v1,1.4,army,freezing,wetlands,none,*,Footpath
kmph-v1,1.0,army,freezing,wetlands,none,river,none
kmph-v1,0.8,army,freezing,wetlands,vegetation,none,none
kmph-v1,1.0,army,freezing,wetlands,vegetation,*,Footpath
kmph-v1,0.8,army,freezing,wetlands,vegetation,river,none
